FB_TIME,FB_TIME_QLTY,OFFSET,REC_ELEV,REC_X,SRC_X
20.230000,1.216356,6.000000,0.000000,0.000000,6.750000
56.299999,92.038025,-62.000000,5.520000,70.500000,8.250000
56.393265,5.005708,-60.000000,5.410000,69.000000,8.250000
56.439896,3.710442,-59.000000,5.250000,67.500000,8.250000
56.533161,90.555016,-57.000000,5.120000,66.000000,8.250000
56.579792,90.526253,-56.000000,4.950000,64.500000,8.250000
56.478973,97.355728,-54.000000,4.750000,63.000000,8.250000
55.832443,93.500420,-53.000000,4.570000,61.500000,8.250000
54.539383,92.179466,-51.000000,4.400000,60.000000,8.250000
53.892853,97.143974,-50.000000,4.250000,58.500000,8.250000
52.599792,38.781250,-48.000000,4.070000,57.000000,8.250000
51.953266,94.454384,-47.000000,3.840000,55.500000,8.250000
50.606903,45.071625,-45.000000,3.800000,54.000000,8.250000
49.924835,75.259804,-44.000000,3.660000,52.500000,8.250000
48.560707,44.727188,-42.000000,3.560000,51.000000,8.250000
47.878643,74.680473,-41.000000,3.390000,49.500000,8.250000
46.517200,71.319221,-39.000000,3.270000,48.000000,8.250000
45.854351,84.372482,-38.000000,3.100000,46.500000,8.250000
44.528648,59.921257,-36.000000,3.000000,45.000000,8.250000
43.865795,70.417336,-35.000000,2.860000,43.500000,8.250000
42.540092,78.690651,-33.000000,2.750000,42.000000,8.250000
41.877243,95.572823,-32.000000,2.650000,40.500000,8.250000
40.551540,96.934120,-30.000000,2.390000,39.000000,8.250000
39.913540,93.179413,-29.000000,2.210000,37.500000,8.250000
38.681622,86.815735,-27.000000,2.110000,36.000000,8.250000
38.065662,76.540550,-26.000000,1.990000,34.500000,8.250000
36.833740,79.953117,-24.000000,1.890000,33.000000,8.250000
36.217781,61.869984,-23.000000,1.750000,31.500000,8.250000
34.809750,62.494148,-21.000000,1.620000,30.000000,8.250000
33.848480,40.615261,-20.000000,1.450000,28.500000,8.250000
31.925934,60.718983,-18.000000,1.360000,27.000000,8.250000
30.964661,46.996510,-17.000000,1.310000,25.500000,8.250000
29.042116,64.067589,-15.000000,1.130000,24.000000,8.250000
28.233833,45.931797,-14.000000,0.920000,22.500000,8.250000
27.404068,0.412376,-12.000000,0.710000,21.000000,8.250000
26.989187,84.155251,-11.000000,0.600000,19.500000,8.250000
26.159422,87.824448,-9.000000,0.430000,18.000000,8.250000
25.744539,19.547279,-8.000000,0.310000,16.500000,8.250000
22.343555,44.554920,-6.000000,0.250000,15.000000,8.250000
18.746471,62.514347,-5.000000,0.150000,13.500000,8.250000
11.552300,74.459961,-3.000000,0.080000,12.000000,8.250000
6.392761,59.854507,-2.000000,0.080000,10.500000,8.250000
3.895000,60.085060,0.000000,0.020000,7.500000,8.250000
3.895000,99.643646,0.000000,0.040000,9.000000,8.250000
12.323401,79.142220,2.000000,0.000000,6.000000,8.250000
14.690738,69.913498,3.000000,0.050000,4.500000,8.250000
21.203905,0.094567,5.000000,0.010000,3.000000,8.250000
22.597189,5.600914,6.000000,0.050000,1.500000,8.250000
25.250000,1.472249,8.000000,0.000000,0.000000,8.250000
56.509998,0.702211,-60.000000,5.520000,70.500000,9.750000
56.842785,2.589452,-59.000000,5.410000,69.000000,9.750000
57.508354,0.038675,-57.000000,5.250000,67.500000,9.750000
57.841137,0.356404,-56.000000,5.120000,66.000000,9.750000
58.506706,2.969068,-54.000000,4.950000,64.500000,9.750000
58.305019,52.618504,-53.000000,4.750000,63.000000,9.750000
57.821186,3.263329,-51.000000,4.570000,61.500000,9.750000
57.579269,0.311217,-50.000000,4.400000,60.000000,9.750000
57.095436,17.975927,-48.000000,4.250000,58.500000,9.750000
56.853519,15.897141,-47.000000,4.070000,57.000000,9.750000
56.209629,38.724510,-45.000000,3.840000,55.500000,9.750000
55.691746,34.234585,-44.000000,3.800000,54.000000,9.750000
54.655979,21.897135,-42.000000,3.660000,52.500000,9.750000
54.138096,26.032532,-41.000000,3.560000,51.000000,9.750000
53.102333,35.160671,-39.000000,3.390000,49.500000,9.750000
52.472015,36.349754,-38.000000,3.270000,48.000000,9.750000
51.055111,35.009701,-36.000000,3.100000,46.500000,9.750000
50.346661,38.738483,-35.000000,3.000000,45.000000,9.750000
48.929760,47.188210,-33.000000,2.860000,43.500000,9.750000
48.221310,49.822529,-32.000000,2.750000,42.000000,9.750000
46.882248,48.639111,-30.000000,2.650000,40.500000,9.750000
46.226040,49.603493,-29.000000,2.390000,39.000000,9.750000
44.913620,56.044365,-27.000000,2.210000,37.500000,9.750000
43.495892,57.161880,-26.000000,2.110000,36.000000,9.750000
42.944992,80.322586,-24.000000,1.990000,34.500000,9.750000
42.619957,83.461365,-23.000000,1.890000,33.000000,9.750000
42.096050,95.089546,-21.000000,1.750000,31.500000,9.750000
41.834095,97.448517,-20.000000,1.620000,30.000000,9.750000
41.079941,70.758400,-18.000000,1.450000,28.500000,9.750000
40.594448,94.715103,-17.000000,1.360000,27.000000,9.750000
39.623463,81.337227,-15.000000,1.310000,25.500000,9.750000
39.137970,97.545029,-14.000000,1.130000,24.000000,9.750000
35.988392,99.402008,-12.000000,0.920000,22.500000,9.750000
34.331612,99.505356,-11.000000,0.710000,21.000000,9.750000
30.871883,97.204910,-9.000000,0.600000,19.500000,9.750000
28.742058,98.190392,-8.000000,0.430000,18.000000,9.750000
25.715347,83.699020,-6.000000,0.310000,16.500000,9.750000
24.880629,92.944885,-5.000000,0.250000,15.000000,9.750000
18.019054,84.198448,-3.000000,0.150000,13.500000,9.750000
12.159307,21.211676,-2.000000,0.080000,12.000000,9.750000
7.115453,97.932129,0.000000,0.040000,9.000000,9.750000
7.115453,71.668777,0.000000,0.080000,10.500000,9.750000
12.033448,99.106606,2.000000,0.020000,7.500000,9.750000
15.364891,73.869034,3.000000,0.000000,6.000000,9.750000
22.663366,42.766628,5.000000,0.050000,4.500000,9.750000
